"Player 1","Player 2","Result","Moves","Year","Opening"
"Hikaru Nakamura                                                          (2736)","Peter T Roberson                                                          (2435)","1-0",40,2020,"1. Nf3 Nf6 2. b3 d5 3. Bb2 e6                                                                                                                Réti Opening: Nimzowitsch-Larsen Attack, 2...Nf6"
"Hikaru Nakamura                                                          (2736)","Lazaro Bruzon Batista                                                          (2640)","1-0",53,2020,"1. Nf3 Nf6 2. g3 d5 3. Bg2 e6                                                                                                                King's Indian Attack: Yugoslav Variation"
"Justin Tan                                                          (2511)","Hikaru Nakamura                                                          (2736)","½-½",14,2020,"1. e4 e5 2. Nf3 Nc6 3. Bb5 a6                                                                                                                Ruy López Opening: Morphy Defense, Modern Steinitz Defense, 5.O-O Bd7 6.d4"
"David L Haydon                                                          (2294)","Hikaru Nakamura                                                          (2736)","0-1",54,2020,"1. Nf3 d5 2. e3 c6 3. b3 Bf5                                                                                                                Réti Opening: 1...d5"
"Leinier Dominguez Perez                                                          (2758)","Hikaru Nakamura                                                          (2736)","0-1",58,2020,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5                                                                                                                Giuoco Piano Game: Main Line, Giuoco Pianissimo Variation"
"Le Quang Liem                                                          (2713)","Hikaru Nakamura                                                          (2736)","0-1",47,2020,"1. d4 d5 2. c4 dxc4 3. e4 Nf6                                                                                                                Queen's Gambit Accepted: Central Variation, Alekhine System, 4.e5 Nd5 5.Bxc4 Nb6 6.Bb3 Nc6"
"Illya Nyzhnyk                                                          (2662)","Hikaru Nakamura                                                          (2736)","½-½",60,2020,"1. d4 d5 2. c4 dxc4 3. e4 Nf6                                                                                                                Queen's Gambit Accepted: Central Variation, Alekhine System, 4.e5 Nd5 5.Bxc4 Nb6 6.Bd3 Nc6"
"Andrew Tang                                                          (2521)","Hikaru Nakamura                                                          (2736)","1-0",30,2020,"1. d4 d5 2. Nf3 Nf6 3. Bf4 c5                                                                                                                London System: 3...c5 4.e3"
"Hikaru Nakamura                                                          (2736)","Richard J D Palliser                                                          (2399)","1-0",26,2020,"1. Nf3 c5 2. b3 d6 3. e4 Nf6                                                                                                                Réti Opening: Sicilian Invitation"
"Hikaru Nakamura                                                          (2736)","Fabiano Caruana                                                          (2822)","0-1",73,2020,"1. e4 e5 2. Nc3 Nc6 3. Bc4 Nf6                                                                                                                Bishop's Opening: Berlin, Vienna Hybrid Variation"
